trial,generation_time
0,3.638298988342285
1,1.0613646507263184
2,0.9499144554138184
3,0.922565221786499
4,0.9558155536651611
5,0.9006297588348389
6,0.9150540828704834
7,0.9239921569824219
8,0.9386684894561768
9,0.8695812225341797
10,0.925527811050415
11,0.9088404178619385
12,0.9001255035400391
13,0.9294674396514893
14,0.8993635177612305
15,0.9212839603424072
16,0.9340345859527588
17,0.9503066539764404
18,0.8705203533172607
19,0.950800895690918
20,0.9424412250518799
21,0.8873410224914551
22,0.9454360008239746
23,0.8913030624389648
24,0.8171424865722656
25,0.9122428894042969
26,0.9301559925079346
27,0.8291223049163818
28,0.9601919651031494
29,0.9284267425537109
30,0.9554917812347412
31,0.9338595867156982
32,0.9508802890777588
33,0.9333815574645996
34,0.9490256309509277
35,0.8532724380493164
36,0.9482085704803467
37,0.8706190586090088
38,0.7982232570648193
39,0.8626868724822998
40,0.838679313659668
41,0.8826131820678711
42,0.9100034236907959
43,0.8842217922210693
44,0.9139683246612549
45,0.9285616874694824
46,0.9322810173034668
47,0.9371378421783447
48,0.9461195468902588
49,0.9463584423065186
50,0.8610334396362305
51,0.9890527725219727
52,0.9223082065582275
53,0.9567923545837402
54,0.9448671340942383
55,0.8886151313781738
56,0.9162924289703369
57,0.9384896755218506
58,0.9258153438568115
59,0.9348313808441162
60,0.9152004718780518
61,0.9747300148010254
62,0.9356613159179688
63,0.8914809226989746
64,0.9514796733856201
65,0.9216461181640625
66,0.9168870449066162
67,0.8063955307006836
68,0.8953094482421875
69,0.8879053592681885
70,0.8940141201019287
71,0.8860666751861572
72,0.9469316005706787
73,0.8705713748931885
74,0.9355330467224121
75,0.8810460567474365
76,0.8812777996063232
77,0.9142916202545166
78,0.917278528213501
79,0.8932743072509766
80,0.8603692054748535
81,0.9687705039978027
82,0.8777720928192139
83,0.8986594676971436
84,0.8845393657684326
85,0.9219748973846436
86,0.9224534034729004
87,0.88714599609375
88,0.9030656814575195
89,0.918431282043457
90,0.8980586528778076
91,0.9133846759796143
92,0.9271304607391357
93,0.9371886253356934
94,0.8541362285614014
95,0.8348355293273926
96,0.8852245807647705
97,0.9027338027954102
98,0.8925151824951172
99,0.8641061782836914
