trial,generation_time
0,2.196091890335083
1,1.5407729148864746
2,1.501960277557373
3,1.5372750759124756
4,1.508744478225708
5,1.5311524868011475
6,1.477123498916626
7,1.4938709735870361
8,1.4365684986114502
9,1.4095826148986816
10,1.3990716934204102
11,1.4584295749664307
12,1.4104821681976318
13,1.3021745681762695
14,1.5211114883422852
15,1.4428863525390625
16,1.4863576889038086
17,1.4750878810882568
18,1.4200210571289062
19,1.518099308013916
20,1.4455463886260986
21,1.2655534744262695
22,1.3178269863128662
23,1.460120439529419
24,1.4931063652038574
25,1.454693078994751
26,1.3807752132415771
27,1.4999947547912598
28,1.4623503684997559
29,1.4231512546539307
30,1.4792053699493408
31,1.4474189281463623
32,1.4816257953643799
33,1.3568682670593262
34,1.4719069004058838
35,1.296504020690918
36,1.4150094985961914
37,1.4243597984313965
38,1.4901981353759766
39,1.4736769199371338
40,1.5009889602661133
41,1.2473270893096924
42,1.423572301864624
43,1.3637468814849854
44,1.4300920963287354
45,1.5186238288879395
46,1.3951084613800049
47,1.3771166801452637
48,1.339709758758545
49,1.4418375492095947
50,1.3241307735443115
51,1.4537475109100342
52,1.435668706893921
53,1.3354947566986084
54,1.4519190788269043
55,1.3255963325500488
56,1.4290945529937744
57,1.4572458267211914
58,1.53950834274292
59,1.5236704349517822
60,1.4451243877410889
61,1.4648821353912354
62,1.2914314270019531
63,1.4553256034851074
64,1.388923168182373
65,1.4181487560272217
66,1.2890048027038574
67,1.482689619064331
68,1.2899658679962158
69,1.4516100883483887
70,1.370821237564087
71,1.38297700881958
72,1.352867841720581
73,1.4686434268951416
74,1.551239252090454
75,1.5629796981811523
76,1.4118387699127197
77,1.2920951843261719
78,1.3179876804351807
79,1.4412131309509277
80,1.507960319519043
81,1.3828506469726562
82,1.2861738204956055
83,1.4521875381469727
84,1.2545075416564941
85,1.5508859157562256
86,1.4821786880493164
87,1.3837740421295166
88,1.3295044898986816
89,1.4159481525421143
90,1.456629753112793
91,1.306647539138794
92,1.3624753952026367
93,1.464878797531128
94,1.4553203582763672
95,1.2609632015228271
96,1.4117164611816406
97,1.4467356204986572
98,1.455840826034546
99,1.4316647052764893
